Source_File,Extracted_Numbers...
case_4/case_4_all_data.json,25
case_5/case_5_all_data.json,0
case_5/case_5_all_data.json,9
case_5/case_5_all_data.json,0
case_5/case_5_all_data.json,9
case_5/case_5_all_data.json,0
case_5/case_5_all_data.json,0
case_5/case_5_all_data.json,0
case_5/case_5_all_data.json,0
case_5/case_5_all_data.json,0
case_5/case_5_all_data.json,0
case_5/case_5_all_data.json,0
case_5/case_5_all_data.json,0
case_5/case_5_all_data.json,0
case_5/case_5_all_data.json,0
case_5/case_5_all_data.json,0
case_5/case_5_all_data.json,0
case_5/case_5_all_data.json,0
case_5/case_5_all_data.json,10
case_5/case_5_all_data.json,0
case_5/case_5_all_data.json,0
case_5/case_5_all_data.json,0
case_5/case_5_all_data.json,1
case_5/case_5_all_data.json,1
case_5/case_5_all_data.json,9
case_5/case_5_all_data.json,0
case_5/case_5_all_data.json,0
case_5/case_5_all_data.json,0
case_5/case_5_all_data.json,0
case_5/case_5_all_data.json,0
case_5/case_5_all_data.json,0
case_5/case_5_all_data.json,0
case_5/case_5_all_data.json,0
case_5/case_5_all_data.json,0
case_5/case_5_all_data.json,0
case_5/case_5_all_data.json,0
case_5/case_5_all_data.json,0
case_5/case_5_all_data.json,0
case_5/case_5_all_data.json,0
case_5/case_5_all_data.json,10
case_5/case_5_all_data.json,0
case_5/case_5_all_data.json,9
case_5/case_5_all_data.json,0
case_5/case_5_all_data.json,9
case_5/case_5_all_data.json,0
case_5/case_5_all_data.json,0
case_5/case_5_all_data.json,0
case_5/case_5_all_data.json,0
case_5/case_5_all_data.json,0
case_5/case_5_all_data.json,0
case_5/case_5_all_data.json,0
case_6/case_6_all_data.json,24
case_6/case_6_all_data.json,33
case_6/case_6_all_data.json,54
case_6/case_6_all_data.json,55
case_6/case_6_all_data.json,66
case_6/case_6_all_data.json,36
case_6/case_6_all_data.json,56
case_6/case_6_all_data.json,48
case_6/case_6_all_data.json,77
case_6/case_6_all_data.json,58
case_6/case_6_all_data.json,78
case_6/case_6_all_data.json,63
case_6/case_6_all_data.json,62
case_6/case_6_all_data.json,46
