Source_File,Extracted_Numbers...
case_4/case_4_all_data.json,8833
case_4/case_4_all_data.json,9537
case_4/case_4_all_data.json,9379
case_4/case_4_all_data.json,11336
case_4/case_4_all_data.json,9604
case_4/case_4_all_data.json,10160
case_4/case_4_all_data.json,11364
case_4/case_4_all_data.json,11217
case_4/case_4_all_data.json,10974
case_4/case_4_all_data.json,10551
case_4/case_4_all_data.json,11073
case_4/case_4_all_data.json,11026
case_4/case_4_all_data.json,10438
case_5/case_5_all_data.json,1740
case_5/case_5_all_data.json,2972
case_5/case_5_all_data.json,3391
case_5/case_5_all_data.json,4041
case_5/case_5_all_data.json,4441
case_5/case_5_all_data.json,2995
case_5/case_5_all_data.json,4494
case_5/case_5_all_data.json,2918
case_5/case_5_all_data.json,4356
case_5/case_5_all_data.json,4059
case_5/case_5_all_data.json,4363
case_5/case_5_all_data.json,3414
case_5/case_5_all_data.json,3976
case_5/case_5_all_data.json,4046
case_5/case_5_all_data.json,4396
case_5/case_5_all_data.json,4117
case_5/case_5_all_data.json,4388
case_5/case_5_all_data.json,3016
case_5/case_5_all_data.json,4406
case_5/case_5_all_data.json,3484
case_5/case_5_all_data.json,3357
case_5/case_5_all_data.json,2019
case_5/case_5_all_data.json,3059
case_5/case_5_all_data.json,4058
case_5/case_5_all_data.json,3745
case_5/case_5_all_data.json,4388
case_5/case_5_all_data.json,4055
case_5/case_5_all_data.json,2961
case_5/case_5_all_data.json,4467
case_5/case_5_all_data.json,4408
case_5/case_5_all_data.json,3926
case_5/case_5_all_data.json,4439
case_5/case_5_all_data.json,3420
case_5/case_5_all_data.json,4238
case_5/case_5_all_data.json,2634
case_5/case_5_all_data.json,3855
case_5/case_5_all_data.json,3439
case_5/case_5_all_data.json,3958
case_5/case_5_all_data.json,3088
case_5/case_5_all_data.json,3843
case_5/case_5_all_data.json,3746
case_5/case_5_all_data.json,3882
case_5/case_5_all_data.json,3551
case_5/case_5_all_data.json,4307
case_5/case_5_all_data.json,4021
case_5/case_5_all_data.json,4484
case_5/case_5_all_data.json,3927
case_5/case_5_all_data.json,4390
case_5/case_5_all_data.json,2879
case_5/case_5_all_data.json,4282
case_6/case_6_all_data.json,5831
case_6/case_6_all_data.json,8154
case_6/case_6_all_data.json,10753
case_6/case_6_all_data.json,9878
case_6/case_6_all_data.json,10941
case_6/case_6_all_data.json,9627
case_6/case_6_all_data.json,10778
case_6/case_6_all_data.json,11506
case_6/case_6_all_data.json,12141
case_6/case_6_all_data.json,12766
case_6/case_6_all_data.json,12530
case_6/case_6_all_data.json,10792
case_6/case_6_all_data.json,13304
case_6/case_6_all_data.json,13211
case_6/case_6_all_data.json,13211
case_6/case_6_all_data.json,12046
case_6/case_6_all_data.json,13222
case_6/case_6_all_data.json,8865
case_6/case_6_all_data.json,7413
case_6/case_6_all_data.json,10402
case_6/case_6_all_data.json,10439
case_6/case_6_all_data.json,12307
case_6/case_6_all_data.json,10183
case_6/case_6_all_data.json,10294
case_6/case_6_all_data.json,12067
case_6/case_6_all_data.json,11976
case_6/case_6_all_data.json,11468
case_6/case_6_all_data.json,12264
case_6/case_6_all_data.json,10406
case_6/case_6_all_data.json,12190
case_6/case_6_all_data.json,13054
case_6/case_6_all_data.json,12986
case_6/case_6_all_data.json,13224
case_6/case_6_all_data.json,11817
case_6/case_6_all_data.json,8898
case_6/case_6_all_data.json,10433
case_6/case_6_all_data.json,10633
case_6/case_6_all_data.json,10614
case_6/case_6_all_data.json,10469
case_6/case_6_all_data.json,9729
case_6/case_6_all_data.json,11516
case_6/case_6_all_data.json,12746
case_6/case_6_all_data.json,12899
case_6/case_6_all_data.json,10870
case_6/case_6_all_data.json,13034
case_6/case_6_all_data.json,13203
case_6/case_6_all_data.json,12211
case_6/case_6_all_data.json,12223
case_6/case_6_all_data.json,12459
case_6/case_6_all_data.json,11292
case_7/case_7_all_data.json,2298
case_7/case_7_all_data.json,2915
case_7/case_7_all_data.json,3517
case_7/case_7_all_data.json,2633
case_7/case_7_all_data.json,4373
case_7/case_7_all_data.json,4047
case_7/case_7_all_data.json,3663
case_7/case_7_all_data.json,4026
case_7/case_7_all_data.json,4704
case_7/case_7_all_data.json,4740
case_7/case_7_all_data.json,4781
case_7/case_7_all_data.json,4803
case_7/case_7_all_data.json,2884
case_7/case_7_all_data.json,4858
case_7/case_7_all_data.json,4793
case_7/case_7_all_data.json,4738
case_7/case_7_all_data.json,4005
case_7/case_7_all_data.json,3837
case_7/case_7_all_data.json,4782
case_7/case_7_all_data.json,3808
case_7/case_7_all_data.json,3438
case_7/case_7_all_data.json,4022
case_7/case_7_all_data.json,3700
case_7/case_7_all_data.json,4472
case_7/case_7_all_data.json,4716
case_7/case_7_all_data.json,4713
case_7/case_7_all_data.json,4760
case_7/case_7_all_data.json,4211
case_7/case_7_all_data.json,3853
case_7/case_7_all_data.json,4879
case_7/case_7_all_data.json,4558
case_7/case_7_all_data.json,5002
case_7/case_7_all_data.json,4695
case_7/case_7_all_data.json,4029
case_7/case_7_all_data.json,4012
case_7/case_7_all_data.json,2516
case_7/case_7_all_data.json,3841
case_7/case_7_all_data.json,4851
case_7/case_7_all_data.json,4447
case_7/case_7_all_data.json,4447
case_7/case_7_all_data.json,4815
case_7/case_7_all_data.json,4250
case_7/case_7_all_data.json,4761
case_7/case_7_all_data.json,4709
case_7/case_7_all_data.json,5015
case_7/case_7_all_data.json,4387
case_7/case_7_all_data.json,4629
case_7/case_7_all_data.json,4353
case_7/case_7_all_data.json,4677
case_7/case_7_all_data.json,4728
case_8/case_8_all_data.json,4442
case_8/case_8_all_data.json,12622
case_8/case_8_all_data.json,15111
case_8/case_8_all_data.json,11896
case_8/case_8_all_data.json,12148
case_8/case_8_all_data.json,15885
case_8/case_8_all_data.json,12287
case_8/case_8_all_data.json,15194
case_8/case_8_all_data.json,17214
case_8/case_8_all_data.json,16013
case_8/case_8_all_data.json,16036
case_8/case_8_all_data.json,13798
case_8/case_8_all_data.json,15499
case_8/case_8_all_data.json,16052
case_8/case_8_all_data.json,16695
case_8/case_8_all_data.json,16103
case_8/case_8_all_data.json,16761
case_8/case_8_all_data.json,12760
case_8/case_8_all_data.json,9336
case_8/case_8_all_data.json,10656
case_8/case_8_all_data.json,15189
case_8/case_8_all_data.json,9831
case_8/case_8_all_data.json,16040
case_8/case_8_all_data.json,13578
case_8/case_8_all_data.json,12368
case_8/case_8_all_data.json,15129
case_8/case_8_all_data.json,12646
case_8/case_8_all_data.json,12527
case_8/case_8_all_data.json,16061
case_8/case_8_all_data.json,13727
case_8/case_8_all_data.json,14077
case_8/case_8_all_data.json,14093
case_8/case_8_all_data.json,12538
case_8/case_8_all_data.json,14038
case_8/case_8_all_data.json,6807
case_8/case_8_all_data.json,9214
case_8/case_8_all_data.json,13539
case_8/case_8_all_data.json,13227
case_8/case_8_all_data.json,16575
case_8/case_8_all_data.json,16264
case_8/case_8_all_data.json,13309
case_8/case_8_all_data.json,15400
case_8/case_8_all_data.json,13462
case_8/case_8_all_data.json,13216
case_8/case_8_all_data.json,14051
case_8/case_8_all_data.json,16920
case_8/case_8_all_data.json,15922
case_8/case_8_all_data.json,16116
case_8/case_8_all_data.json,14077
case_8/case_8_all_data.json,13453
case_9/case_9_all_data.json,2073
case_9/case_9_all_data.json,2193
case_9/case_9_all_data.json,4994
case_9/case_9_all_data.json,6122
case_9/case_9_all_data.json,7192
case_9/case_9_all_data.json,4568
case_9/case_9_all_data.json,7197
case_9/case_9_all_data.json,5360
case_9/case_9_all_data.json,7298
case_9/case_9_all_data.json,4735
case_9/case_9_all_data.json,4372
case_9/case_9_all_data.json,7109
case_9/case_9_all_data.json,7066
case_9/case_9_all_data.json,7271
case_9/case_9_all_data.json,6582
case_9/case_9_all_data.json,6821
case_9/case_9_all_data.json,5151
case_9/case_9_all_data.json,2369
case_9/case_9_all_data.json,4607
case_9/case_9_all_data.json,3329
case_9/case_9_all_data.json,3130
case_9/case_9_all_data.json,4618
case_9/case_9_all_data.json,7209
case_9/case_9_all_data.json,4610
case_9/case_9_all_data.json,4302
case_9/case_9_all_data.json,7314
case_9/case_9_all_data.json,4597
case_9/case_9_all_data.json,4376
case_9/case_9_all_data.json,6768
case_9/case_9_all_data.json,7110
case_9/case_9_all_data.json,6667
case_9/case_9_all_data.json,6896
case_9/case_9_all_data.json,7415
case_9/case_9_all_data.json,7257
case_9/case_9_all_data.json,2167
case_9/case_9_all_data.json,5014
case_9/case_9_all_data.json,6640
case_9/case_9_all_data.json,6596
case_9/case_9_all_data.json,5419
case_9/case_9_all_data.json,7100
case_9/case_9_all_data.json,4525
case_9/case_9_all_data.json,5313
case_9/case_9_all_data.json,5362
case_9/case_9_all_data.json,7168
case_9/case_9_all_data.json,4604
case_9/case_9_all_data.json,7018
case_9/case_9_all_data.json,4352
case_9/case_9_all_data.json,5322
case_9/case_9_all_data.json,6497
case_9/case_9_all_data.json,6962
case_10/case_10_all_data.json,1509
case_10/case_10_all_data.json,3140
case_10/case_10_all_data.json,2429
case_10/case_10_all_data.json,2274
case_10/case_10_all_data.json,3016
case_10/case_10_all_data.json,2285
case_10/case_10_all_data.json,2842
case_10/case_10_all_data.json,2916
case_10/case_10_all_data.json,3089
case_10/case_10_all_data.json,3334
case_10/case_10_all_data.json,3484
case_10/case_10_all_data.json,3387
case_10/case_10_all_data.json,3139
case_10/case_10_all_data.json,3404
case_10/case_10_all_data.json,3167
case_10/case_10_all_data.json,3392
case_10/case_10_all_data.json,3332
case_10/case_10_all_data.json,1939
case_10/case_10_all_data.json,3228
case_10/case_10_all_data.json,2110
case_10/case_10_all_data.json,2195
case_10/case_10_all_data.json,2728
case_10/case_10_all_data.json,3104
case_10/case_10_all_data.json,2714
case_10/case_10_all_data.json,3526
case_10/case_10_all_data.json,2975
case_10/case_10_all_data.json,3402
case_10/case_10_all_data.json,3315
case_10/case_10_all_data.json,3276
case_10/case_10_all_data.json,2322
case_10/case_10_all_data.json,3358
case_10/case_10_all_data.json,2894
case_10/case_10_all_data.json,3464
case_10/case_10_all_data.json,3478
case_10/case_10_all_data.json,1658
case_10/case_10_all_data.json,2084
case_10/case_10_all_data.json,2165
case_10/case_10_all_data.json,2219
case_10/case_10_all_data.json,2307
case_10/case_10_all_data.json,2823
case_10/case_10_all_data.json,2989
case_10/case_10_all_data.json,3177
case_10/case_10_all_data.json,2673
case_10/case_10_all_data.json,3320
case_10/case_10_all_data.json,3408
case_10/case_10_all_data.json,3420
case_10/case_10_all_data.json,3309
case_10/case_10_all_data.json,3302
case_10/case_10_all_data.json,2947
case_10/case_10_all_data.json,2722
