Source_File,Extracted_Numbers...
case_4/case_4_all_data.json,10.032
case_4/case_4_all_data.json,10.626
case_4/case_4_all_data.json,11.079
case_4/case_4_all_data.json,9.865
case_4/case_4_all_data.json,11.769
case_4/case_4_all_data.json,10.642
case_4/case_4_all_data.json,9.57
case_4/case_4_all_data.json,11.119
case_4/case_4_all_data.json,9.468
case_4/case_4_all_data.json,9.325
case_4/case_4_all_data.json,10.753
case_4/case_4_all_data.json,10.24
case_4/case_4_all_data.json,10.418
case_4/case_4_all_data.json,10.474
case_4/case_4_all_data.json,10.447
case_4/case_4_all_data.json,10.714
case_4/case_4_all_data.json,11.17
case_4/case_4_all_data.json,10.128
case_4/case_4_all_data.json,10.597
case_4/case_4_all_data.json,11.774
case_4/case_4_all_data.json,11.58
case_4/case_4_all_data.json,11.629
case_4/case_4_all_data.json,10.324
case_4/case_4_all_data.json,11.201
case_5/case_5_all_data.json,6.478
case_5/case_5_all_data.json,8.193
case_5/case_5_all_data.json,8.023
case_5/case_5_all_data.json,8.442
case_5/case_5_all_data.json,8.979
case_5/case_5_all_data.json,7.943
case_5/case_5_all_data.json,9.106
case_5/case_5_all_data.json,7.582
case_5/case_5_all_data.json,9.177
case_5/case_5_all_data.json,8.899
case_5/case_5_all_data.json,8.583
case_5/case_5_all_data.json,8.438
case_5/case_5_all_data.json,8.442
case_5/case_5_all_data.json,8.902
case_5/case_5_all_data.json,9.204
case_5/case_5_all_data.json,8.664
case_5/case_5_all_data.json,8.262
case_5/case_5_all_data.json,8.49
case_5/case_5_all_data.json,9.754
case_5/case_5_all_data.json,7.947
case_5/case_5_all_data.json,7.885
case_5/case_5_all_data.json,8.604
case_5/case_5_all_data.json,8.798
case_5/case_5_all_data.json,8.532
case_5/case_5_all_data.json,8.453
case_5/case_5_all_data.json,8.313
case_5/case_5_all_data.json,8.597
case_5/case_5_all_data.json,7.756
case_5/case_5_all_data.json,8.32
case_5/case_5_all_data.json,9.003
case_5/case_5_all_data.json,8.904
case_5/case_5_all_data.json,9.488
case_5/case_5_all_data.json,7.942
case_5/case_5_all_data.json,8.452
case_5/case_5_all_data.json,7.892
case_5/case_5_all_data.json,8.169
case_5/case_5_all_data.json,8.325
case_5/case_5_all_data.json,8.643
case_5/case_5_all_data.json,8.743
case_5/case_5_all_data.json,8.723
case_5/case_5_all_data.json,8.683
case_5/case_5_all_data.json,8.758
case_5/case_5_all_data.json,8.359
case_5/case_5_all_data.json,8.81
case_5/case_5_all_data.json,8.706
case_5/case_5_all_data.json,8.358
case_5/case_5_all_data.json,8.104
case_5/case_5_all_data.json,8.277
case_5/case_5_all_data.json,8.09
case_5/case_5_all_data.json,8.385
