Episode,Reward,LUT,DSP,Graph_Index,Target_DSP
155,-985.709678826245,9657,204,0,8
156,-67.84945288361445,2711,76,1,102
157,-213.09383161087925,3026,144,1,102
158,-2463.698376093344,6931,516,7,24
159,-1628.954229746836,6134,349,7,24
160,-929.3769790665411,5934,289,7,104
161,-1089.36592455255,5482,321,7,104
162,-1804.41493884378,6516,403,5,43
163,-1929.51090007781,6742,428,5,43
164,-1034.4986142367763,5212,270,5,64
165,-2074.2399395011194,6417,478,5,64
166,-449.939547390302,2872,38,1,217
167,-557.8748229295185,3917,328,1,217
168,-308.24138490775323,3284,166,1,105
169,-878.0411539446224,4225,280,1,105
170,-823.6410909467178,4477,196,3,32
171,-413.3976256757989,3818,114,3,32
172,-37.61213292598725,3665,50,3,43
173,-633.5273117794728,4112,169,3,43
174,-1774.4632830104022,6045,415,5,61
175,-1339.714302740467,5926,328,5,61
176,-2213.192255881929,5538,454,3,12
177,-1873.2783086957932,5078,386,3,12
178,-24.785427710533142,3619,116,1,125
179,-197.75755062825166,3224,47,1,125
180,-5358.793789002988,5384,1072,9,1
181,-5898.935860734018,6116,1180,9,1
182,-1579.3708379491734,6549,341,7,26
183,-1653.7652165957218,5264,356,7,26
184,-242.69691797205869,2672,120,1,72
185,-24.889031964302063,3012,63,1,72
186,-147.78705862396046,2611,50,1,108
187,-72.4865589427948,2310,122,1,108
188,-373.51858200168607,3832,119,3,45
189,-583.5121470487057,3928,161,3,45
190,-1024.033928780951,5959,272,7,68
191,-1044.1795374761973,5803,276,7,68
192,-928.8970517956519,5198,278,7,93
193,-1019.4705971267364,5482,296,7,93
194,-2919.4659034944825,7073,605,5,22
195,-1894.662543813041,7302,400,5,22
196,-497.83902454280854,3173,111,2,12
197,-19.28667453289032,3445,5,2,12
198,-1409.5019391359572,5832,350,5,69
199,-994.6528407793236,5763,267,5,69
200,-1469.2405537035415,6131,392,7,99
201,-1049.3060917998723,5241,308,7,99
202,-599.2811155166626,5243,178,7,59
203,-1304.1636853902312,5482,319,7,59
204,-1984.4486104695538,6409,429,5,33
205,-1749.3964144118174,6898,382,5,33
206,-1093.4660681095254,4792,233,3,15
207,-1618.4058152469706,4542,338,3,15
208,-889.3473336133636,5303,275,7,98
209,-594.0053879616842,5570,216,7,98
210,-40.575526329994204,3394,44,1,59
211,-1023.2747862848422,3055,263,1,59
212,-2388.8454148289666,6329,505,7,28
213,-1784.0230198597308,6085,384,7,28
214,-1224.2137840258538,5278,335,7,91
215,-809.3478784502171,5258,252,7,91
216,-210.14380318723406,2781,91,1,174
217,-375.42094034194946,2730,25,1,174
218,-628.7131152361915,4270,158,3,33
219,-638.5200384254456,3949,160,3,33
220,-8458.165567375887,6340,1694,6,3
221,-6703.602363560662,5934,1343,6,3
222,-2393.737185364158,6420,479,8,1
223,-2538.883736220472,7797,508,8,1
224,-1029.0936027415469,5073,293,7,88
225,-869.1402060552795,4992,261,7,88
226,-127.6064514311277,2224,82,1,57
227,-67.64323233879938,2608,31,1,57
228,-1329.3684687254124,5400,332,5,67
229,-1319.518507580844,5617,330,5,67
230,-1564.4077246751754,5939,364,7,52
231,-1099.405461552533,5649,271,7,52
232,-202.7925219703957,2201,121,1,201
233,-437.9802202420916,3109,27,1,201
234,-512.8076207813403,2485,10,1,214
235,-312.605338013649,2871,90,1,214
236,-6327.998457218048,4463,1285,6,20
237,-6288.790916363963,4503,1277,6,20
238,-2773.5324525423566,5981,559,8,5
239,-1119.3370328546252,6918,228,8,5
240,-185.45945152416743,2597,21,1,94
241,-80.4773373222351,3295,63,1,94
242,-185.32533195629634,2477,75,1,148
243,-225.1974507071177,2162,59,1,148
244,-357.98815090488887,2561,57,1,199
245,-170.30534578256044,2698,132,1,199
246,-152.6267251608958,2332,101,1,161
247,-117.50266489463156,2929,115,1,161
248,-351.08995181342533,4004,87,1,226
249,-505.2570043685649,2780,25,1,226
250,-395.76743578127366,3113,58,1,215
251,-438.0447184406008,3060,41,1,215
252,-103.0909872907911,3836,59,1,39
253,-142.65056192753232,2469,67,1,39
254,-2104.4993483266717,6257,443,5,23
255,-2394.294417111785,6669,501,5,23
256,-17.407364948545183,3938,53,3,59
257,-538.7195627786848,3751,166,3,59
258,-488.6977721564624,3850,155,3,58
259,-183.45683841878014,3582,94,3,58
260,-1569.7987889660876,6488,338,5,25
261,-1689.5154974871302,6224,362,5,25
262,-683.4205010646625,3740,162,1,26
263,-162.2981226050637,2347,58,1,26
264,-523.1124578574045,3017,154,1,50
265,-207.85747546931677,2774,91,1,50
266,-1034.294635221426,5337,265,5,59
267,-1134.237225379469,5442,285,5,59
268,-1274.5810833067053,5960,295,5,41
269,-1264.6200679542783,5938,293,5,41
270,-55.751645984736356,4287,176,1,197
271,-172.66845549474442,3717,231,1,197
272,-1168.4135661762923,4869,233,2,0
273,-647.5870417001431,4164,129,2,0
274,-182.9782422264202,5145,42,2,6
275,-778.1579838021352,4137,161,2,6
276,-287.68245075959743,2533,42,1,156
277,-300.976579079628,3145,37,1,156
278,-323.35543896300294,3049,8,1,136
279,-1752.4962055339,4893,486,1,136
280,-391.03514780646105,3308,70,1,225
281,-470.96967984260397,3500,38,1,225
282,-1174.5656545882325,5609,296,5,62
283,-934.4219450081198,5167,248,5,62
284,-253.38302714448815,3748,94,3,44
285,-318.6429917793274,3546,107,3,44
286,-1238.8910700733738,5297,260,8,13
287,-1363.906835549386,4527,285,8,13
288,-2168.348664020543,5754,436,8,3
289,-1348.5280680073631,5475,272,8,3
290,-378.4149545843727,3676,91,8,16
291,-1133.5881469340345,4782,242,8,16
292,-819.5789611742672,5601,248,5,85
293,-819.556092648762,5627,248,5,85
294,-719.2912859188715,5339,219,5,76
295,-979.4994082730935,5572,271,5,76
296,-1412.792385574715,3526,314,1,32
297,-47.401219549179075,3130,41,1,32
298,-849.37883980953,5626,234,5,65
299,-874.543370186397,5366,239,5,65
300,-117.84008855967825,2468,63,1,109
301,-27.540932619268244,2938,99,1,109
302,-57.811062182426454,3203,176,1,165
303,-272.7508561670583,2937,57,1,165
304,-343.00097183401687,3163,167,1,99
305,-8.783442746162414,2747,96,1,99
306,-297.72781025725453,3657,70,1,188
307,-345.1157573279505,2439,51,1,188
308,-140.14954379490442,3140,34,1,89
309,-497.755167345047,3758,188,1,89
310,-1882.8778110949975,4524,417,1,41
311,-2057.746351792965,4766,452,1,41
312,-472.4641531183343,4747,174,1,80
313,-2163.011331751969,4835,512,1,80
314,-1457.652815068493,5357,510,1,219
315,-547.5472452524358,5212,328,1,219
316,-1943.0086009159797,4075,413,1,25
317,-1207.843153200071,3175,266,1,25
318,-1795.6742123490867,10969,364,0,6
319,-1225.3429674012125,9277,250,0,6
320,-1124.8617508999507,7940,236,0,12
321,-775.4367279516343,8819,166,0,12
322,-308.3539720239872,3010,56,1,178
323,-380.63289357627065,2874,27,1,178
324,-360.6629964281718,2927,17,1,160
325,-207.58917325556422,2958,78,1,160
326,-185.98204411926784,3503,37,1,110
327,-42.80790031736038,2834,94,1,110
328,-4608.369103380932,4456,935,6,14
329,-4918.200775399092,4545,997,6,14
330,-154.1329350796361,5152,120,7,90
331,-359.1799187997182,4854,161,7,90
332,-509.3320992236418,4854,187,5,86
333,-454.4731979466428,5118,176,5,86
334,-1544.5335312749992,5578,354,5,46
335,-1054.4950078890156,5327,256,5,46
336,-257.91072932304456,2639,39,1,141
337,-297.7887132428273,3000,23,1,141
338,-1259.0893997258686,5152,283,7,32
339,-1214.3842103445147,5456,274,7,32
340,-1819.4468268177745,5879,392,5,29
341,-1319.4789856749449,5723,292,5,29
342,-22.863537373224897,3221,40,1,48
343,-35.17730084051405,2498,35,1,48
344,-5153.270742010641,4587,1035,6,5
345,-5863.399700431702,5335,1177,6,5
346,-567.8124698465749,4540,124,4,11
347,-2017.2969795087681,4473,414,4,11
348,-603.5675735586497,3859,144,3,24
349,-408.6146216454855,3871,105,3,24
350,-181.02097643502555,3531,53,1,124
351,-90.46308592383068,2513,89,1,124
352,-461.15857825988274,3404,26,1,209
353,-423.63271005070703,3849,41,1,209
354,-529.0294490651005,4537,166,7,61
355,-59.184886253356936,5501,72,7,61
356,-1209.191026061933,5218,272,7,31
357,-789.2624415748451,5003,188,7,31
358,-3868.6643852060747,4454,775,9,2
359,-3853.524905367239,4252,772,9,2
360,-539.5180602018568,5119,180,5,73
361,-454.1752182055463,4308,163,5,73
362,-423.21923829854023,2887,37,1,205
363,-450.32071103890735,2380,26,1,205
364,-408.4719730000845,3754,111,3,30
365,-403.68365486491166,3933,110,3,30
366,-1159.4529671964315,5499,275,5,44
367,-779.5514638369634,5179,199,5,44
368,-60.118794196128846,2536,38,1,61
369,-42.28021538607279,2499,69,1,61
370,-359.4177298310598,4859,154,5,83
371,-599.5099996433258,5372,202,5,83
372,-3723.582678435108,4339,755,9,11
373,-4423.991933267318,4435,895,9,11
374,-27.42078442955017,3558,70,1,65
375,-112.81669970353444,2375,21,1,65
376,-82.79397544686935,2639,36,1,20
377,-293.7870847517757,4105,78,1,20
378,-653.7239093865402,3822,161,3,31
379,-768.6372675504808,4019,184,3,31
380,-409.1843148312918,4400,136,5,55
381,-524.4296621096474,4899,159,5,55
382,-879.568489458691,5353,223,5,48
383,-949.3881674042752,5064,237,5,48
384,-28.746973671132867,4917,86,7,96
385,-399.4459764022827,5004,175,7,96
386,-461.19192668765527,3726,37,1,220
387,-517.6555633162899,2713,14,1,220
388,-538.6852482454511,4109,146,3,39
389,-328.56341130195966,3666,104,3,39
390,-844.1543395053199,4803,253,7,85
391,-1069.2040091792312,4751,298,7,85
392,-118.30502106337852,2973,66,1,112
393,-19.495845662117006,2822,105,1,112
394,-659.7611232845134,5932,188,7,57
395,-454.1315388785352,4345,147,7,57
396,-414.49354430830624,4995,142,7,60
397,-259.278657168315,4984,111,7,60
398,-663.4201843838082,3697,335,1,203
399,-238.15543934365323,2662,109,1,203
400,-1244.5681382136747,5420,268,5,20
401,-1389.4038102580419,5307,297,5,20
402,-136.0630184425778,3439,66,1,119
403,-65.45101310524574,2378,94,1,119
404,-644.458887265272,4938,179,5,51
405,-394.0775189872452,4458,129,5,51
406,-188.52194117355347,2976,84,1,158
407,-158.41318704968407,3000,96,1,158
408,-102.72879521506172,2950,105,1,85
409,-343.24661230929,3152,153,1,85
410,-1213.5477133686159,4350,419,1,177
411,-243.61264577968834,3500,81,1,177
412,-503.4962690701909,3507,127,3,27
413,-558.6348991624287,3784,138,3,27
414,-604.1200317781779,4219,189,7,69
415,-469.0675016281858,4107,162,7,69
416,-832.7858870367746,5494,178,4,12
417,-522.5363435566766,4609,116,4,12
418,-55.926715286341576,3648,27,3,48
419,-83.30423005650259,3176,16,3,48
420,-169.02046717318368,4432,75,7,42
421,-454.44947085008516,5140,132,7,42
422,-45.7561319325765,3328,38,3,55
423,-58.21905841014696,3246,33,3,55
424,-82.74078604428908,2527,108,1,92
425,-105.48956629249028,2758,51,1,92
426,-283.5975680015446,3634,20,1,132
427,-137.77187427003042,2662,159,1,132
428,-338.60952586297424,3762,104,3,37
429,-188.36170853951103,3166,74,3,37
430,-338.6216803257886,3943,102,3,35
431,-383.7550056762943,3766,111,3,35
432,-508.6234707082645,3603,25,1,227
433,-405.38122988015635,2676,66,1,227
434,-87.82360393415179,2577,42,1,76
435,-338.43687608651555,3238,143,1,76
436,-573.584564241119,3725,136,3,22
437,-1008.4553724754069,4327,223,3,22
438,-6277.713796123244,4770,1261,6,6
439,-8073.401651681912,6549,1620,6,6
440,-2263.4844437086094,7002,458,8,6
441,-1663.638921479629,5837,338,8,6
442,-167.53270131831383,2506,116,1,182
443,-292.7782548996715,2588,240,1,182
444,-829.4235451052792,5583,237,7,72
445,-619.322589815632,5398,195,7,72
446,-148.91186864471436,4252,82,3,53
447,-51.03350017166138,3802,34,3,53
448,-333.09144922870263,3084,17,1,149
449,-321.11076586151125,3498,22,1,149
450,-2533.7520226790525,4274,521,6,15
451,-3058.766683931276,4732,626,6,15
452,-554.9216221697524,6286,113,0,3
453,-600.1096767063141,7299,122,0,3
454,-2.7322285060882567,3901,55,1,56
455,-122.99709349918366,3026,80,1,56
456,-235.7123152630583,3011,49,1,142
457,-291.165429286891,3534,27,1,142
458,-309.5383181124041,5298,140,5,79
459,-289.2412638014432,4412,136,5,79
460,-334.86771188693257,5665,136,5,70
461,-219.12037398581072,4311,113,5,70
462,-307.68244549468255,3976,68,4,7
463,-257.6421769360762,3967,58,4,7
464,-112.43036125228717,3324,26,2,4
465,-87.58430879529317,2792,21,2,4
466,-269.6322479595608,5384,137,5,84
467,-269.28232154125635,4721,137,5,84
468,-605.1128979624125,7223,125,0,5
469,-434.5968015825666,5873,91,0,5
470,-328.4669092206008,2935,25,1,155
471,-325.946811550874,3326,26,1,155
472,-256.0866713576598,3314,15,1,116
473,-278.07973941065814,2824,6,1,116
474,-353.3343498381148,2820,72,1,212
475,-354.04822466740706,4271,72,1,212
476,-333.24677432101834,2437,36,1,168
477,-415.84466168528866,2836,3,1,168
478,-98.12075591373444,3181,36,3,17
479,-413.5640222555414,3738,99,3,17
480,-290.62771076386554,2258,38,1,153
481,-235.444371412541,2679,60,1,153
482,-73.84257610893249,4647,94,7,80
483,-53.73676956503732,3824,60,7,80
484,-404.1811404968544,4446,120,7,40
485,-784.6027333143319,5221,196,7,40
486,-224.44539581044515,4948,106,7,62
487,-524.2064992783411,4746,166,7,62
488,-459.42467707907633,4939,137,7,46
489,-249.53838946914672,5202,95,7,46
490,-2003.3907922815574,2906,409,9,9
491,-1408.2590573610548,2707,290,9,9
492,-88.243980067571,3995,221,1,204
493,-308.9174272833103,3909,82,1,204
494,-869.506516834851,5201,212,5,39
495,-1029.4809973920062,5089,244,5,39
496,-269.27304766506614,4843,140,5,87
497,-149.8456041545868,5894,116,5,87
498,-450.97664193280536,2966,15,1,194
499,-415.9303517001278,3122,29,1,194
500,-504.36439581255394,4691,153,5,53
501,-909.4465385041709,4766,234,5,53
502,-68.39995415605817,3769,53,3,40
503,-38.07819099998474,3137,26,3,40
504,-308.7692922010729,3545,110,3,49
505,-53.56637684767587,3621,29,3,49
506,-157.99462848168326,2787,35,1,97
507,-111.10292535452409,3404,54,1,97
508,-30.64834098815918,3475,23,1,34
509,-15.154329496383667,3637,29,1,34
510,-1099.2984689883317,5104,245,5,26
511,-924.6010770932791,5279,210,5,26
512,-53.78049353044683,4657,91,5,81
513,-1084.3671174144831,4707,297,5,81
514,-27.990344709569754,3227,26,3,36
515,-33.133768504802994,3247,24,3,36
516,-389.2950031000284,4672,104,5,27
517,-514.3025912920388,4476,129,5,27
518,-465.7027484776281,2381,31,1,216
519,-435.75111321508473,3014,43,1,216
520,-148.06535105006978,2404,20,1,78
521,-78.49058153349354,3303,48,1,78
522,-719.8311411034266,6094,213,7,70
523,-64.03360215759277,4282,46,7,70
524,-549.68981658346,5689,143,7,34
525,-404.4679422851845,5090,114,7,34
526,-68.27987066187177,3554,41,3,28
527,3.7749581136703494,3517,28,3,28
528,-558.5315540992192,3428,123,6,12
529,-1458.6783360617258,3859,303,6,12
530,-459.2040364636131,4381,136,5,45
531,-619.2738389229929,4641,168,5,45
532,-63.77421448487502,4465,62,5,50
533,-429.341709074597,4507,135,5,50
534,-58.72193137741089,4557,49,7,38
535,-539.5033903515074,5288,145,7,38
536,-312.902283201036,1947,72,9,10
537,-1423.2539526164405,2598,294,9,10
538,-198.2590008277893,2929,53,8,14
539,-203.8281119547588,3783,54,8,14
540,-84.19865280983664,4567,26,7,58
541,-479.4971324539185,4820,153,7,58
542,-263.4531215918405,2999,24,1,128
543,-248.9435420029091,4150,30,1,128
544,-38.647315689086916,4742,63,7,56
545,-28.768093265706842,4417,46,7,56
546,-554.3520955107405,4589,157,7,47
547,-434.66629383968484,5249,133,7,47
548,-378.617881640049,3696,41,1,191
549,-408.3052051430099,2675,29,1,191
550,-341.1460315052481,3178,75,1,210
551,-460.9596953262661,2937,27,1,210
552,-198.29624814373935,2646,15,1,93
553,-208.27943253195428,3305,11,1,93
554,-519.609376509153,4988,163,5,60
555,-464.71912485442624,5438,152,5,60
556,-134.84257450951472,5665,92,7,66
557,-58.842290132522585,4611,77,7,66
558,-999.3767334823608,4626,227,5,28
559,-249.3429739589691,4649,77,5,28
560,-169.765136347378,5530,97,7,64
561,-274.7785497833599,5533,118,7,64
562,-148.5858164653778,3772,48,3,19
563,-118.2783689212799,3440,42,3,19
564,-48.19900278382553,3069,100,1,118
565,-158.5274925268264,3085,56,1,118
566,-672.7165379712847,2059,137,9,3
567,-932.9592234981864,2327,189,9,3
568,-143.37185929081357,3202,56,1,28
569,-163.3970156218789,3060,60,1,28
570,-332.67059876589985,4189,67,4,1
571,-237.30956068420411,3833,48,4,1
572,-1923.1906570690205,2664,390,9,6
573,-947.8747578211835,2055,195,9,6
574,-356.0442026317489,3108,38,1,179
575,-248.23139756607287,2645,81,1,179
576,-194.22937356494023,4542,114,7,76
577,-184.8574240863903,5691,112,7,76
578,-320.9531539516449,2891,59,1,186
579,-435.85525927984304,2917,13,1,186
580,-1283.8369189873447,3987,263,6,7
581,-1743.5726509283115,4201,355,6,7
582,-239.39221392536163,5493,54,0,7
583,-324.8791713500389,6382,71,0,7
584,-48.80985523223877,4520,58,5,49
585,-384.798098226572,5544,125,5,49
586,-114.26560973880602,4933,76,7,54
587,-15.9673738822937,4922,49,7,54
588,-95.6544379582656,2677,23,1,60
589,-85.85189053210091,2967,27,1,60
590,-89.00380137379963,4617,70,7,53
591,-71.48307990891593,4015,26,7,53
592,-118.43918183379478,3026,58,1,104
593,-88.58109950719562,3358,70,1,104
594,-57.99928834915161,3060,60,1,49
595,-65.93987675461403,3758,24,1,49
596,-188.57098555615073,3330,60,1,23
597,-37.91025835609436,3732,30,1,23
598,-293.56018578504904,3060,60,1,176
599,-303.5507564009044,3048,56,1,176
600,-1168.750536250946,4135,249,6,16
601,-1053.7878649093936,3938,226,6,16
602,-21.111122232437133,2437,12,4,8
603,-8.780496660232544,3232,5,4,8
604,-158.2789242380233,2776,33,1,95
605,-48.56525864892257,3789,77,1,95
606,-32.585416425411516,2212,21,1,33
607,-8.971486629486083,2528,30,1,33
608,-19.042973858152116,5859,62,5,68
609,-94.5514384470488,5400,86,5,68
610,-303.87457817061875,3870,42,1,162
611,-356.07411916426537,3174,21,1,162
612,-20.961213950157166,4908,2,0,9
613,-15.458698364257813,4292,4,0,9
614,-11.567976236343384,3875,28,3,26
615,-43.375034208933506,4183,34,3,26
616,-314.76574108487085,5400,137,7,75
617,-104.63925771243397,5131,35,7,75
618,-164.87408531639792,5799,84,5,52
619,-84.32820577733658,5020,68,5,52
620,-239.77525888633727,5424,72,7,25
621,-244.32046421381892,4695,73,7,25
622,-52.08916128349304,5464,70,7,89
623,-129.5173672800625,4632,39,7,89
624,-29.781329998016357,1793,0,8,11
625,-24.77851347923279,2100,2,8,11
626,-103.60152855593984,3680,58,1,98
627,-128.60215614419823,3318,48,1,98
628,-20.492933506011962,3513,14,3,21
629,-10.06231478691101,4705,18,3,21
630,-12.068458543777465,2947,8,8,12
631,-212.9509416782468,2218,54,8,12
632,-139.52131493724477,4611,23,7,77
633,-29.016017097473146,5813,82,7,77
634,-52.906845787221734,3445,27,6,17
635,-863.5547645863439,3956,189,6,17
636,-96.50312247898704,4117,17,3,54
637,-59.003505584219226,4456,32,3,54
638,-368.783580236902,3762,17,1,163
639,-350.99301434680393,3052,24,1,163
640,-183.76426937965496,3505,54,1,126
641,-255.92021758606856,2954,25,1,126
642,-243.75835902603384,3501,41,1,137
643,-253.83456004862265,3709,37,1,137
644,-211.0350026348659,3060,60,1,143
645,-35.773050459998,3804,130,1,143
646,-168.4037001138575,3060,60,1,27
647,-68.04973307337079,2975,40,1,27
648,-87.26217432841133,5401,38,5,71
649,-44.43964936892191,5970,79,5,71
650,-7.241453937530517,5133,33,7,35
651,-94.02557336716903,4321,53,7,35
652,-113.29820139262988,3060,60,1,38
653,-188.38971304371483,2968,75,1,38
654,-93.60936927491265,3347,93,1,129
655,-301.0590157184601,3407,10,1,129
656,-83.37389243862845,3230,12,1,44
657,-208.76078421183996,3685,85,1,44
658,-78.06874290847779,3478,28,6,13
659,-793.602655568051,3544,171,6,13
660,-16.299096370697022,5527,72,5,77
661,-107.64413149424962,6205,36,5,77
662,-113.22951439603169,2683,30,1,74
663,-108.2556841251462,2675,32,1,74
664,-268.4839745411343,3063,74,1,21
665,-16.676159004211424,3108,24,1,21
666,-23.558999399820966,4551,26,3,34
667,-41.13067186355591,3885,19,3,34
668,-40.5777109375,2923,16,1,31
669,-333.6785786529085,3400,97,1,31
670,-123.6934349512762,3548,53,1,101
671,-128.29629584794887,2686,51,1,101
672,-86.61796271952461,4412,18,3,51
673,-106.63775696536473,4299,10,3,51
674,-8.327373446464538,3028,11,4,14
675,-29.37207415676117,2162,3,4,14
676,-26.08104493904114,4356,20,3,29
677,-33.79587367600661,4506,17,3,29
678,-159.26117079734803,4360,61,5,30
679,-204.9435647650463,5600,70,5,30
680,-426.1345815507103,3255,38,1,207
681,-468.58682911380214,3174,21,1,207
682,-198.4353634300232,3063,74,1,35
683,-63.50145248603821,3634,11,1,35
684,-246.0748722884509,3196,30,1,127
685,-161.15096861839294,3390,64,1,127
686,-204.53971908099476,4991,76,5,36
687,-214.68156899567538,5258,78,5,36
688,-91.63757453600566,4380,17,3,52
