loss,mae,val_loss,val_mae,fold,epoch
7568.421875,7568.421875,7360.43359375,7360.43359375,1,1
7220.6689453125,7220.6689453125,6575.95166015625,6575.95166015625,1,2
5650.36376953125,5650.36376953125,4320.4619140625,4320.4619140625,1,3
4471.80078125,4471.80078125,4138.53564453125,4138.53564453125,1,4
4373.0849609375,4373.0849609375,4211.37353515625,4211.37353515625,1,5
4381.55712890625,4381.55712890625,4225.7724609375,4225.7724609375,1,6
4406.8525390625,4406.8525390625,4181.8017578125,4181.8017578125,1,7
4370.3310546875,4370.3310546875,4113.30029296875,4113.30029296875,1,8
4360.14501953125,4360.14501953125,4144.603515625,4144.603515625,1,9
4387.89208984375,4387.89208984375,4164.982421875,4164.982421875,1,10
4393.46044921875,4393.46044921875,4198.07861328125,4198.07861328125,1,11
4337.46142578125,4337.46142578125,4139.79833984375,4139.79833984375,1,12
4305.0537109375,4305.0537109375,4140.82177734375,4140.82177734375,1,13
4377.056640625,4377.056640625,4119.97412109375,4119.97412109375,1,14
4316.85107421875,4316.85107421875,4075.24072265625,4075.24072265625,1,15
4340.1044921875,4340.1044921875,4184.1689453125,4184.1689453125,1,16
4372.10205078125,4372.10205078125,4102.52294921875,4102.52294921875,1,17
4357.5888671875,4357.5888671875,4103.5703125,4103.56982421875,1,18
4264.87890625,4264.87890625,4023.415283203125,4023.415283203125,1,19
4318.775390625,4318.775390625,4127.27197265625,4127.27197265625,1,20
4331.04638671875,4331.04638671875,4029.9951171875,4029.9951171875,1,21
4239.49462890625,4239.49462890625,4046.40625,4046.40625,1,22
4268.544921875,4268.544921875,4065.380859375,4065.380859375,1,23
4270.171875,4270.171875,4012.404296875,4012.404296875,1,24
4250.3212890625,4250.3212890625,3927.891845703125,3927.891845703125,1,25
4212.0751953125,4212.0751953125,3946.3193359375,3946.3193359375,1,26
4217.412109375,4217.412109375,3956.476318359375,3956.476318359375,1,27
4291.35986328125,4291.35986328125,4025.9111328125,4025.9111328125,1,28
4239.53369140625,4239.53369140625,3932.2001953125,3932.2001953125,1,29
4210.9091796875,4210.9091796875,3940.807861328125,3940.807861328125,1,30
4180.10791015625,4180.10791015625,3967.802490234375,3967.802490234375,1,31
4186.8037109375,4186.8037109375,3852.83935546875,3852.83935546875,1,32
4174.1318359375,4174.1318359375,3887.338134765625,3887.338134765625,1,33
4120.1650390625,4120.1650390625,3896.322509765625,3896.322509765625,1,34
4141.5126953125,4141.5126953125,3825.641845703125,3825.641845703125,1,35
4058.378173828125,4058.378173828125,3719.576904296875,3719.576904296875,1,36
4082.782958984375,4082.782958984375,3764.36181640625,3764.36181640625,1,37
3998.665283203125,3998.665283203125,3639.28369140625,3639.28369140625,1,38
3984.369384765625,3984.369384765625,3598.163818359375,3598.163818359375,1,39
3984.903076171875,3984.903076171875,3602.859375,3602.859375,1,40
3982.40771484375,3982.40771484375,3535.199462890625,3535.199462890625,1,41
3855.10400390625,3855.10400390625,3490.54931640625,3490.54931640625,1,42
3782.554443359375,3782.554443359375,3352.343994140625,3352.343994140625,1,43
